article,Academy of Management Journal,Academy of Management Review,Administrative Science Quarterly,Information Systems Research,Journal of Accounting and Economics,Journal of Accounting Research,Journal of Consumer Research,Journal of Finance,Journal of Financial Economics,Journal of International Business Studies,Journal of Marketing,Journal of Marketing Research,Journal of Operations Management,INFORMS Journal on Computing,Management Science,Manufacturing and Service Operations Management,Marketing Science,MIS Quarterly,Operations Research,Organization Science,Production and Operations Management,Strategic Management Journal,The Accounting Review,The Review of Financial Studies,Decision Support Systems,Information and Management,Journal of Management Information Systems,Econometrica,American Economic Review,MIS Quart.,Management Sci.,Inform. Systems Res.,J. Management Inform. Systems,Organ. Sci.,Acad. Management Rev.,Acad. Management J.,Admin. Sci. Quart.,Marketing Sci.,J. Marketing Res.,J. Marketing
A Generational Perspective on the Software Workforce Precocious Users of Social Networking in Software Development,1,2,0,4,0,0,0,0,0,0,1,0,0,0,2,0,0,5,0,1,0,1,0,0,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0
A Novel Recommendation Model for Online-to-Offline Service Based on the Customer Network and Service Location,0,0,0,6,0,0,2,0,1,0,0,3,0,2,6,0,0,0,3,0,1,0,0,0,6,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
A Program of Collaboration Engineering Research and Practice Contributions  Insights  and Future Directions,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0
A Risk Mitigation Framework for Information Technology Projects A Cultural Contingency Perspective,3,0,0,9,0,0,0,0,0,2,0,2,0,0,4,0,0,12,0,1,0,1,0,0,1,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0
A Wikipedia-based Method to Support Creative Idea Generation The Role of Stimulus Relatedness,1,0,1,5,0,0,1,0,0,0,1,1,0,0,3,0,0,3,0,0,0,0,0,0,1,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0
Acting Like Humans Anthropomorphism and Consumer's Willingness to Pay in Electronic Commerce,0,1,0,2,0,0,7,0,0,0,7,1,0,0,0,0,2,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
Adherence to Clinical Guidelines  Electronic Health Record Use  and Online Reviews,0,0,0,3,0,0,0,0,0,0,0,3,0,0,3,0,2,2,0,0,0,0,0,0,0,0,6,0,1,0,0,0,0,0,0,0,0,0,0,0
An Economic Analysis of Platform Protection in the Presence of Content Substitutability,0,0,0,5,0,0,1,0,0,0,0,1,0,0,8,0,2,4,1,0,2,0,0,0,2,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0
An Information Processing View on Joint Vendor Performance in Multi-Sourcing The Role of the Guardian,0,1,3,5,0,0,0,0,0,0,0,0,0,0,3,0,0,2,0,2,1,3,0,0,0,0,9,1,0,0,0,0,0,0,0,0,0,0,0,0
An Integrative Theory Addressing Cyberharassment in the Light of Technology-Based Opportunism,2,4,0,7,0,0,0,0,0,0,0,0,1,0,1,0,0,11,0,2,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0
Benefits of IT-Enabled Flexibilities for Foreign versus Local Firms in Emerging Economies,3,1,0,4,0,0,0,1,0,13,2,1,2,0,4,0,1,9,0,3,0,7,0,0,1,0,12,3,0,0,0,0,0,0,0,0,0,0,0,0
Cyberbullying on Social Networking Sites The Crime Opportunity and Affordance Perspectives,0,0,0,3,0,0,0,0,0,0,0,1,0,0,1,0,0,5,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
Decision Problems in Blockchain Governance Old Wine in New Bottles or Walking in Someone Else's Shoes,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,3,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Deliberate or Instinctive Proactive and Reactive Coping for Technostress,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,7,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
Detecting Anomalous Online Reviewers An Unsupervised Approach Using Mixture Models,0,0,0,3,0,0,0,0,0,0,2,1,0,0,1,0,1,0,0,0,1,0,0,0,4,0,12,0,1,0,0,0,0,0,0,0,0,0,0,0
Diffusion on Social Media Platforms A Point Process Model for Interaction among Similar Content,1,0,0,6,0,0,0,0,0,0,0,1,0,0,9,0,0,5,0,0,1,0,0,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
Digital Borders  Location Recognition  and Experience Attribution within a Digital Geography,0,2,0,2,0,0,2,0,0,0,0,0,0,0,1,0,2,11,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0
Digital Nudging Numeric and Semantic Priming in E-Commerce,0,0,0,5,0,0,3,0,0,0,1,2,0,0,1,0,1,4,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0
Disrupting Unwanted Habits in Online Gambling Through Information Technology,0,0,0,2,0,0,1,0,0,0,1,0,0,0,1,0,0,14,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0
Editorial Introduction,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
Effect of Crowd Voting on Participation in Crowdsourcing Contests,2,0,1,5,0,0,2,0,0,0,3,0,0,0,8,0,3,2,0,2,0,1,0,0,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
Effect of Friends' Churn on Consumer Behavior in Mobile Networks,0,0,0,1,0,0,0,0,0,0,4,5,0,0,4,0,6,1,1,0,0,0,0,0,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
Effective Coordination of Shared Leadership in Global Virtual Teams,1,2,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0
Effectiveness of IT Service Management Capability Value Co-Creation and Value Facilitation Mechanisms,1,3,0,1,0,0,0,0,0,0,1,0,1,0,1,0,4,7,0,1,0,0,0,0,0,0,11,2,0,0,0,0,0,0,0,0,0,0,0,0
Effectiveness of Location-Based Advertising and the Impact of Interface Design,0,0,0,5,0,0,0,0,0,0,2,8,0,0,8,0,8,2,0,0,0,0,0,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
Estimating Network Effects in Two-Sided Markets,0,0,0,4,0,0,0,0,0,0,3,5,0,0,4,0,9,4,0,0,0,1,0,0,1,0,8,0,1,0,0,0,0,0,0,0,0,0,0,0
Factors Affecting the Adoption of an Electronic Word of Mouth Message A Meta-Analysis,3,0,0,3,0,0,3,0,0,0,3,1,0,0,0,0,2,8,0,1,0,1,0,0,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0
Fostering Participant Health Knowledge and Attitudes An Econometric Study of a Chronic Disease-Focused Online Health Community,0,4,1,7,0,0,1,0,1,0,1,0,0,0,1,0,0,6,0,1,0,0,0,0,2,0,8,1,0,0,0,0,0,0,0,0,0,0,0,0
Fostering Value Creation with Digital Platforms A Unified Theory of the Application Programming Interface Design,1,2,0,5,0,0,0,0,0,0,5,3,1,0,3,0,1,7,0,0,0,2,0,0,2,0,9,0,1,0,0,0,0,0,0,0,0,0,0,0
Framework of Affordances for Virtual Reality and Augmented Reality,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
Generating Business Intelligence Through Social Media Analytics Measuring Brand Personality with Consumer-  Employee-  and Firm-Generated Content,0,0,0,7,0,0,3,0,0,0,4,9,0,0,1,0,7,5,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0
Herding and Software Adoption A Re-Examination Based on Post-Adoption Software Discontinuance,1,3,1,6,0,0,0,0,1,0,0,1,0,0,7,0,1,10,0,0,1,0,0,0,2,0,5,0,1,0,0,0,0,0,0,0,0,0,0,0
Human Identification for Activities of Daily Living A Deep Transfer Learning Approach,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0
Idea Convergence Quality in Open Innovation Crowdsourcing A Cognitive Load Perspective,6,0,2,3,0,0,0,0,0,0,0,1,0,0,3,0,0,3,0,0,0,2,0,0,3,1,19,0,0,0,0,0,0,0,0,0,0,0,0,0
Impact of Cyberattacks by Malicious Hackers on the Competition in Software Markets,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,0,0,1,0,0,2,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0
In the Realm of Hungry Ghosts Multi-Level Theory for Supplier Participation on Digital Platforms,4,2,4,10,0,0,0,0,0,0,0,0,0,0,2,0,0,12,0,1,0,8,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0
Information Processing on Online Review Platforms,0,0,0,12,1,0,0,1,1,0,2,0,0,0,2,0,0,5,0,0,0,0,0,0,3,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0
