article,Academy of Management Journal,Academy of Management Review,Administrative Science Quarterly,Information Systems Research,Journal of Accounting and Economics,Journal of Accounting Research,Journal of Consumer Research,Journal of Finance,Journal of Financial Economics,Journal of International Business Studies,Journal of Marketing,Journal of Marketing Research,Journal of Operations Management,INFORMS Journal on Computing,Management Science,Manufacturing and Service Operations Management,Marketing Science,MIS Quarterly,Operations Research,Organization Science,Production and Operations Management,Strategic Management Journal,The Accounting Review,The Review of Financial Studies,Decision Support Systems,Information and Management,Journal of Management Information Systems,Econometrica,American Economic Review,MIS Quart.,Management Sci.,Inform. Systems Res.,J. Management Inform. Systems,Organ. Sci.,Acad. Management Rev.,Acad. Management J.,Admin. Sci. Quart.,Marketing Sci.,J. Marketing Res.,J. Marketing
A Multiattribute Benefits-Based Choice Model with Multiple Mediators New Insights for Positioning,0,0,0,0,0,0,1,0,0,0,5,15,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A Tale of Two Twitterspheres Political Microblogging During and After the 2016 Primary and Presidential Debates,0,0,0,0,0,0,2,0,0,0,2,7,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Advertising a Desired Change When Process Simulation Fosters (vs,0,0,0,0,0,0,10,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Advertising Effectiveness for Multiple Retailer-Brands in a Multimedia and Multichannel Environment,0,0,0,0,0,0,0,0,0,0,3,16,0,0,1,0,5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Assessing Sensitive Consumer Behavior Using the Item Count Response Technique,0,0,0,0,0,0,3,0,0,0,1,4,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Bayesian Nonparametric Dynamic Methods Applications to Linear and Nonlinear Advertising Models,0,0,0,0,0,0,0,0,0,0,0,7,0,0,5,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Branded Apps and Their Impact on Firm Value A Design Perspective,0,0,0,0,0,0,0,0,2,0,11,9,0,0,2,0,2,1,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Can Viagra Advertising Make More Babies Direct-to-Consumer Advertising on Public Health Outcomes,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Capital Market Returns to New Product Development Success Informational Effects on Product Market Advertising,0,0,0,0,4,0,0,6,8,0,4,9,0,0,2,0,5,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
Climb or Jump Status-Based Seeding in User-Generated Content Networks,0,0,1,0,0,0,1,0,0,0,2,7,0,0,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Communicating Brands in Television Advertising,0,0,0,0,0,0,2,0,0,0,4,14,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Competition of Content Acquisition and Distribution Under Consumer Multipurchase,0,0,0,0,0,0,0,0,0,0,1,5,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
